score,dataset,feature_countdataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.8735981073,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,1.00,MajorityVoting
0.9080690627,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,3.00,MajorityVoting
0.9219218766,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,5.00,MajorityVoting
0.9194326991,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,10.00,MajorityVoting
0.9147790194,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,20.00,MajorityVoting
0.9102335649,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,30.00,MajorityVoting
0.9172681969,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,50.00,MajorityVoting
0.9125062922,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,100.00,MajorityVoting
0.9059045606,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,1.00,MajorityVoting
0.9285764623,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,3.00,MajorityVoting
0.9151036948,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,5.00,MajorityVoting
0.9285764623,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,10.00,MajorityVoting
0.9286846874,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,20.00,MajorityVoting
0.9264119601,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,30.00,MajorityVoting
0.9333383671,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,50.00,MajorityVoting
0.9356110943,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,100.00,MajorityVoting
0.9080136917,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,1.00,ArithmeticMean
0.9195409242,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,3.00,ArithmeticMean
0.9059045606,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,5.00,ArithmeticMean
0.924302829,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,10.00,ArithmeticMean
0.9056881103,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,20.00,ArithmeticMean
0.9034153831,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,30.00,ArithmeticMean
0.9241946038,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,50.00,ArithmeticMean
0.9149954696,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,100.00,ArithmeticMean
0.9288457666,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,1.00,ArithmeticMean
0.9215418303,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,3.00,ArithmeticMean
0.9174846471,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,5.00,ArithmeticMean
0.9309045606,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,10.00,ArithmeticMean
0.9285764623,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,20.00,ArithmeticMean
0.9333383671,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,30.00,ArithmeticMean
0.9355582402,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,50.00,ArithmeticMean
0.9356110943,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,100.00,ArithmeticMean
0.9289539917,house_votes_84,16435,2,svm,RandomSubspace,1.00,MajorityVoting
0.9425375013,house_votes_84,16435,2,svm,RandomSubspace,3.00,MajorityVoting
0.9260344307,house_votes_84,16435,2,svm,RandomSubspace,5.00,MajorityVoting
0.9448630827,house_votes_84,16435,2,svm,RandomSubspace,10.00,MajorityVoting
0.9470829558,house_votes_84,16435,2,svm,RandomSubspace,20.00,MajorityVoting
0.9471358099,house_votes_84,16435,2,svm,RandomSubspace,30.00,MajorityVoting
0.9539011376,house_votes_84,16435,2,svm,RandomSubspace,50.00,MajorityVoting
0.9516284103,house_votes_84,16435,2,svm,RandomSubspace,100.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,1.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,3.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,5.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,10.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,20.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,30.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,50.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,100.00,MajorityVoting
0.9354474982,house_votes_84,16435,2,svm,RandomSubspace,1.00,ArithmeticMean
0.9470275848,house_votes_84,16435,2,svm,RandomSubspace,3.00,ArithmeticMean
0.9450795329,house_votes_84,16435,2,svm,RandomSubspace,5.00,ArithmeticMean
0.9494613913,house_votes_84,16435,2,svm,RandomSubspace,10.00,ArithmeticMean
0.9515730394,house_votes_84,16435,2,svm,RandomSubspace,20.00,ArithmeticMean
0.9515201852,house_votes_84,16435,2,svm,RandomSubspace,30.00,ArithmeticMean
0.9494639082,house_votes_84,16435,2,svm,RandomSubspace,50.00,ArithmeticMean
0.9584465922,house_votes_84,16435,2,svm,RandomSubspace,100.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,1.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,3.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,5.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,10.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,20.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,30.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,50.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,100.00,ArithmeticMean
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,40.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,60.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,70.00,MajorityVoting
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,80.00,MajorityVoting
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,90.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,40.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,60.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,70.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,80.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,90.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,40.00,ArithmeticMean
0.6138729488,house_votes_84,16435,2,MockClassifier,RandomSubspace,60.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,70.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,80.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomSubspace,90.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,40.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,60.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,70.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,80.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,RandomNetworks,90.00,ArithmeticMean
0.9586076714,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,40.00,MajorityVoting
0.9357193194,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,60.00,MajorityVoting
0.9447020034,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,70.00,MajorityVoting
0.9516284103,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,80.00,MajorityVoting
0.9493003121,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,90.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,40.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,60.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,70.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,80.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,90.00,MajorityVoting
0.9424292762,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,40.00,ArithmeticMean
0.9447020034,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,60.00,ArithmeticMean
0.9424292762,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,70.00,ArithmeticMean
0.9447020034,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,80.00,ArithmeticMean
0.9424292762,house_votes_84,16435,2,ExtremeLearningMachine,RandomSubspace,90.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,40.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,60.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,70.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,80.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,RandomNetworks,90.00,ArithmeticMean
0.9148872445,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,40.00,MajorityVoting
0.9104500151,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,60.00,MajorityVoting
0.9170517467,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,70.00,MajorityVoting
0.9171599718,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,80.00,MajorityVoting
0.9125062922,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,90.00,MajorityVoting
0.9378838216,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,40.00,MajorityVoting
0.9264673311,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,60.00,MajorityVoting
0.9265201852,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,70.00,MajorityVoting
0.9355582402,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,80.00,MajorityVoting
0.9310127857,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,90.00,MajorityVoting
0.9080690627,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,40.00,ArithmeticMean
0.9218136515,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,60.00,ArithmeticMean
0.9148872445,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,70.00,ArithmeticMean
0.9149954696,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,80.00,ArithmeticMean
0.926359106,house_votes_84,16435,2,BackPropagationPyBrain,RandomSubspace,90.00,ArithmeticMean
0.9261955099,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,40.00,ArithmeticMean
0.926303735,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,60.00,ArithmeticMean
0.9264673311,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,70.00,ArithmeticMean
0.9310127857,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,80.00,ArithmeticMean
0.9333383671,house_votes_84,16435,2,BackPropagationPyBrain,RandomNetworks,90.00,ArithmeticMean
0.9517366355,house_votes_84,16435,2,svm,RandomSubspace,40.00,MajorityVoting
0.9493556831,house_votes_84,16435,2,svm,RandomSubspace,60.00,MajorityVoting
0.9494639082,house_votes_84,16435,2,svm,RandomSubspace,70.00,MajorityVoting
0.9469747307,house_votes_84,16435,2,svm,RandomSubspace,80.00,MajorityVoting
0.9516284103,house_votes_84,16435,2,svm,RandomSubspace,90.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,40.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,60.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,70.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,80.00,MajorityVoting
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,90.00,MajorityVoting
0.9447020034,house_votes_84,16435,2,svm,RandomSubspace,40.00,ArithmeticMean
0.9540093627,house_votes_84,16435,2,svm,RandomSubspace,60.00,ArithmeticMean
0.9537929125,house_votes_84,16435,2,svm,RandomSubspace,70.00,ArithmeticMean
0.9585548173,house_votes_84,16435,2,svm,RandomSubspace,80.00,ArithmeticMean
0.9493556831,house_votes_84,16435,2,svm,RandomSubspace,90.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,40.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,60.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,70.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,80.00,ArithmeticMean
0.9562242022,house_votes_84,16435,2,svm,RandomNetworks,90.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,1.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,3.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,5.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,10.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,1.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,3.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,5.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,10.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,1.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,3.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,5.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,10.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,1.00,ArithmeticMean
0.9516812645,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,3.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,5.00,ArithmeticMean
0.956226719,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,10.00,ArithmeticMean
0.9147790194,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,1.00,MajorityVoting
0.9285739454,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,3.00,MajorityVoting
0.933393738,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,5.00,MajorityVoting
0.9310656398,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,10.00,MajorityVoting
0.9121816168,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,1.00,ArithmeticMean
0.9169963757,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,3.00,ArithmeticMean
0.9287929125,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,5.00,ArithmeticMean
0.9332855129,house_votes_84,16435,2,BackPropagationPyBrain,Bagging,10.00,ArithmeticMean
0.9493531662,house_votes_84,16435,2,svm,Bagging,1.00,MajorityVoting
0.9516812645,house_votes_84,16435,2,svm,Bagging,3.00,MajorityVoting
0.9540597,house_votes_84,16435,2,svm,Bagging,5.00,MajorityVoting
0.9609861069,house_votes_84,16435,2,svm,Bagging,10.00,MajorityVoting
0.9584994463,house_votes_84,16435,2,svm,Bagging,1.00,ArithmeticMean
0.9538986208,house_votes_84,16435,2,svm,Bagging,3.00,ArithmeticMean
0.9678042887,house_votes_84,16435,2,svm,Bagging,5.00,ArithmeticMean
0.9608778818,house_votes_84,16435,2,svm,Bagging,10.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,20.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,30.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,40.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,50.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,60.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,70.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,80.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,90.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,100.00,MajorityVoting
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,20.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,30.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,40.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,50.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,60.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,70.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,80.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,90.00,ArithmeticMean
0.616145676,house_votes_84,16435,2,MockClassifier,Bagging,100.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,20.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,30.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,40.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,50.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,60.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,70.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,80.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,90.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,100.00,MajorityVoting
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,20.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,30.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,40.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,50.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,60.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,70.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,80.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,90.00,ArithmeticMean
0.9539539917,house_votes_84,16435,2,ExtremeLearningMachine,Bagging,100.00,ArithmeticMean
